Skew;Value
PosSkew;32
PosSkew;33
PosSkew;33
PosSkew;31
PosSkew;34
PosSkew;35
PosSkew;31
PosSkew;31
PosSkew;33
PosSkew;37
PosSkew;40
PosSkew;39
PosSkew;38
PosSkew;37
PosSkew;37
PosSkew;37
PosSkew;39
PosSkew;36
PosSkew;38
PosSkew;40
PosSkew;40
PosSkew;36
PosSkew;40
PosSkew;39
PosSkew;40
PosSkew;39
PosSkew;36
PosSkew;36
PosSkew;39
PosSkew;40
PosSkew;36
PosSkew;36
PosSkew;40
PosSkew;38
PosSkew;36
PosSkew;38
PosSkew;38
PosSkew;36
PosSkew;39
PosSkew;39
PosSkew;39
PosSkew;38
PosSkew;38
PosSkew;37
PosSkew;38
PosSkew;39
PosSkew;36
PosSkew;39
PosSkew;36
PosSkew;40
PosSkew;38
PosSkew;38
PosSkew;38
PosSkew;38
PosSkew;40
PosSkew;40
PosSkew;39
PosSkew;36
PosSkew;40
PosSkew;40
PosSkew;36
PosSkew;40
PosSkew;40
PosSkew;38
PosSkew;37
PosSkew;36
PosSkew;40
PosSkew;36
PosSkew;38
PosSkew;43
PosSkew;42
PosSkew;43
PosSkew;43
PosSkew;45
PosSkew;42
PosSkew;41
PosSkew;42
PosSkew;41
PosSkew;44
PosSkew;43
PosSkew;42
PosSkew;45
PosSkew;41
PosSkew;41
PosSkew;44
PosSkew;44
PosSkew;45
PosSkew;43
PosSkew;43
PosSkew;42
PosSkew;45
PosSkew;43
PosSkew;45
PosSkew;42
PosSkew;41
PosSkew;45
PosSkew;45
PosSkew;42
PosSkew;44
PosSkew;43
PosSkew;45
PosSkew;45
PosSkew;41
PosSkew;45
PosSkew;45
PosSkew;42
PosSkew;44
PosSkew;41
PosSkew;42
PosSkew;45
PosSkew;43
PosSkew;42
PosSkew;44
PosSkew;43
PosSkew;43
PosSkew;42
PosSkew;44
PosSkew;41
PosSkew;44
PosSkew;45
PosSkew;41
PosSkew;42
PosSkew;45
PosSkew;49
PosSkew;50
PosSkew;46
PosSkew;46
PosSkew;46
PosSkew;47
PosSkew;50
PosSkew;48
PosSkew;48
PosSkew;49
PosSkew;47
PosSkew;47
PosSkew;48
PosSkew;48
PosSkew;47
PosSkew;50
PosSkew;50
PosSkew;46
PosSkew;49
PosSkew;50
PosSkew;48
PosSkew;49
PosSkew;48
PosSkew;47
PosSkew;49
PosSkew;49
PosSkew;47
PosSkew;49
PosSkew;46
PosSkew;50
PosSkew;48
PosSkew;49
PosSkew;47
PosSkew;50
PosSkew;47
PosSkew;46
PosSkew;47
PosSkew;47
PosSkew;50
PosSkew;46
PosSkew;48
PosSkew;47
PosSkew;47
PosSkew;48
PosSkew;48
PosSkew;52
PosSkew;55
PosSkew;55
PosSkew;53
PosSkew;51
PosSkew;53
PosSkew;53
PosSkew;54
PosSkew;51
PosSkew;51
PosSkew;52
PosSkew;51
PosSkew;53
PosSkew;51
PosSkew;53
PosSkew;55
PosSkew;53
PosSkew;52
PosSkew;54
PosSkew;53
PosSkew;55
PosSkew;51
PosSkew;51
PosSkew;54
PosSkew;53
PosSkew;54
PosSkew;54
PosSkew;54
PosSkew;54
PosSkew;53
PosSkew;59
PosSkew;60
PosSkew;57
PosSkew;60
PosSkew;58
PosSkew;59
PosSkew;60
PosSkew;57
PosSkew;57
PosSkew;56
PosSkew;57
PosSkew;60
PosSkew;57
PosSkew;59
PosSkew;58
PosSkew;56
PosSkew;57
PosSkew;60
PosSkew;57
PosSkew;60
PosSkew;63
PosSkew;63
PosSkew;65
PosSkew;64
PosSkew;61
PosSkew;63
PosSkew;63
PosSkew;65
PosSkew;61
PosSkew;62
PosSkew;63
PosSkew;65
PosSkew;65
PosSkew;61
PosSkew;64
PosSkew;67
PosSkew;67
PosSkew;66
PosSkew;69
PosSkew;68
PosSkew;73
PosSkew;71
NoSkew;1
NoSkew;5
NoSkew;4
NoSkew;3
NoSkew;3
NoSkew;5
NoSkew;3
NoSkew;0
NoSkew;1
NoSkew;5
NoSkew;1
NoSkew;1
NoSkew;2
NoSkew;2
NoSkew;1
NoSkew;7
NoSkew;9
NoSkew;9
NoSkew;6
NoSkew;8
NoSkew;7
NoSkew;10
NoSkew;10
NoSkew;10
NoSkew;8
NoSkew;7
NoSkew;10
NoSkew;9
NoSkew;10
NoSkew;7
NoSkew;10
NoSkew;7
NoSkew;9
NoSkew;9
NoSkew;9
NoSkew;12
NoSkew;14
NoSkew;14
NoSkew;11
NoSkew;15
NoSkew;14
NoSkew;11
NoSkew;13
NoSkew;11
NoSkew;11
NoSkew;14
NoSkew;13
NoSkew;15
NoSkew;13
NoSkew;15
NoSkew;12
NoSkew;11
NoSkew;11
NoSkew;14
NoSkew;11
NoSkew;13
NoSkew;15
NoSkew;15
NoSkew;11
NoSkew;12
NoSkew;11
NoSkew;11
NoSkew;15
NoSkew;12
NoSkew;15
NoSkew;16
NoSkew;17
NoSkew;17
NoSkew;16
NoSkew;16
NoSkew;20
NoSkew;19
NoSkew;16
NoSkew;16
NoSkew;18
NoSkew;16
NoSkew;18
NoSkew;19
NoSkew;16
NoSkew;19
NoSkew;20
NoSkew;17
NoSkew;16
NoSkew;17
NoSkew;20
NoSkew;19
NoSkew;16
NoSkew;18
NoSkew;20
NoSkew;19
NoSkew;19
NoSkew;17
NoSkew;17
NoSkew;20
NoSkew;19
NoSkew;16
NoSkew;17
NoSkew;18
NoSkew;18
NoSkew;18
NoSkew;20
NoSkew;21
NoSkew;24
NoSkew;22
NoSkew;25
NoSkew;25
NoSkew;25
NoSkew;23
NoSkew;25
NoSkew;22
NoSkew;21
NoSkew;25
NoSkew;24
NoSkew;24
NoSkew;23
NoSkew;22
NoSkew;24
NoSkew;25
NoSkew;24
NoSkew;21
NoSkew;22
NoSkew;22
NoSkew;21
NoSkew;23
NoSkew;21
NoSkew;21
NoSkew;24
NoSkew;22
NoSkew;22
NoSkew;22
NoSkew;23
NoSkew;23
NoSkew;22
NoSkew;21
NoSkew;25
NoSkew;22
NoSkew;25
NoSkew;22
NoSkew;21
NoSkew;22
NoSkew;25
NoSkew;25
NoSkew;24
NoSkew;25
NoSkew;22
NoSkew;24
NoSkew;25
NoSkew;25
NoSkew;25
NoSkew;24
NoSkew;21
NoSkew;25
NoSkew;22
NoSkew;25
NoSkew;27
NoSkew;28
NoSkew;28
NoSkew;30
NoSkew;27
NoSkew;30
NoSkew;26
NoSkew;29
NoSkew;29
NoSkew;28
NoSkew;30
NoSkew;26
NoSkew;28
NoSkew;28
NoSkew;29
NoSkew;26
NoSkew;28
NoSkew;26
NoSkew;27
NoSkew;29
NoSkew;29
NoSkew;30
NoSkew;28
NoSkew;26
NoSkew;29
NoSkew;26
NoSkew;29
NoSkew;26
NoSkew;28
NoSkew;27
NoSkew;28
NoSkew;30
NoSkew;27
NoSkew;27
NoSkew;26
NoSkew;26
NoSkew;29
NoSkew;30
NoSkew;29
NoSkew;27
NoSkew;27
NoSkew;29
NoSkew;26
NoSkew;30
NoSkew;29
NoSkew;26
NoSkew;29
NoSkew;27
NoSkew;26
NoSkew;28
NoSkew;28
NoSkew;27
NoSkew;30
NoSkew;27
NoSkew;26
NoSkew;30
NoSkew;29
NoSkew;28
NoSkew;29
NoSkew;29
NoSkew;28
NoSkew;26
NoSkew;27
NoSkew;27
NoSkew;28
NoSkew;30
NoSkew;30
NoSkew;27
NoSkew;27
NoSkew;28
NoSkew;29
NoSkew;28
NoSkew;27
NoSkew;28
NoSkew;28
NoSkew;28
NoSkew;31
NoSkew;32
NoSkew;34
NoSkew;33
NoSkew;32
NoSkew;35
NoSkew;32
NoSkew;32
NoSkew;33
NoSkew;33
NoSkew;32
NoSkew;31
NoSkew;33
NoSkew;32
NoSkew;33
NoSkew;35
NoSkew;32
NoSkew;35
NoSkew;34
NoSkew;35
NoSkew;35
NoSkew;33
NoSkew;33
NoSkew;32
NoSkew;34
NoSkew;31
NoSkew;34
NoSkew;33
NoSkew;34
NoSkew;33
NoSkew;35
NoSkew;31
NoSkew;33
NoSkew;35
NoSkew;33
NoSkew;31
NoSkew;35
NoSkew;31
NoSkew;32
NoSkew;31
NoSkew;34
NoSkew;34
NoSkew;32
NoSkew;32
NoSkew;32
NoSkew;35
NoSkew;34
NoSkew;33
NoSkew;32
NoSkew;31
NoSkew;34
NoSkew;35
NoSkew;33
NoSkew;35
NoSkew;31
NoSkew;31
NoSkew;35
NoSkew;33
NoSkew;32
NoSkew;31
NoSkew;35
NoSkew;32
NoSkew;32
NoSkew;33
NoSkew;31
NoSkew;33
NoSkew;35
NoSkew;34
NoSkew;31
NoSkew;31
NoSkew;31
NoSkew;34
NoSkew;31
NoSkew;34
NoSkew;35
NoSkew;33
NoSkew;33
NoSkew;32
NoSkew;34
NoSkew;34
NoSkew;35
NoSkew;31
NoSkew;31
NoSkew;31
NoSkew;31
NoSkew;31
NoSkew;31
NoSkew;31
NoSkew;33
NoSkew;34
NoSkew;34
NoSkew;32
NoSkew;32
NoSkew;33
NoSkew;33
NoSkew;31
NoSkew;33
NoSkew;33
NoSkew;40
NoSkew;39
NoSkew;40
NoSkew;40
NoSkew;37
NoSkew;36
NoSkew;37
NoSkew;40
NoSkew;36
NoSkew;36
NoSkew;39
NoSkew;38
NoSkew;37
NoSkew;36
NoSkew;38
NoSkew;38
NoSkew;39
NoSkew;36
NoSkew;40
NoSkew;36
NoSkew;39
NoSkew;37
NoSkew;36
NoSkew;40
NoSkew;36
NoSkew;39
NoSkew;36
NoSkew;40
NoSkew;39
NoSkew;39
NoSkew;39
NoSkew;39
NoSkew;40
NoSkew;39
NoSkew;38
NoSkew;38
NoSkew;37
NoSkew;38
NoSkew;36
NoSkew;36
NoSkew;38
NoSkew;40
NoSkew;40
NoSkew;36
NoSkew;38
NoSkew;36
NoSkew;39
NoSkew;36
NoSkew;36
NoSkew;39
NoSkew;36
NoSkew;36
NoSkew;39
NoSkew;36
NoSkew;40
NoSkew;38
NoSkew;39
NoSkew;40
NoSkew;40
NoSkew;39
NoSkew;38
NoSkew;36
NoSkew;40
NoSkew;37
NoSkew;38
NoSkew;39
NoSkew;39
NoSkew;37
NoSkew;38
NoSkew;36
NoSkew;38
NoSkew;38
NoSkew;38
NoSkew;37
NoSkew;38
NoSkew;36
NoSkew;37
NoSkew;40
NoSkew;39
NoSkew;39
NoSkew;38
NoSkew;36
NoSkew;38
NoSkew;36
NoSkew;38
NoSkew;40
NoSkew;39
NoSkew;40
NoSkew;39
NoSkew;36
NoSkew;37
NoSkew;38
NoSkew;40
NoSkew;40
NoSkew;38
NoSkew;38
NoSkew;36
NoSkew;38
NoSkew;38
NoSkew;37
NoSkew;37
NoSkew;39
NoSkew;39
NoSkew;36
NoSkew;38
NoSkew;36
NoSkew;40
NoSkew;40
NoSkew;40
NoSkew;40
NoSkew;38
NoSkew;39
NoSkew;36
NoSkew;38
NoSkew;36
NoSkew;38
NoSkew;39
NoSkew;36
NoSkew;38
NoSkew;37
NoSkew;36
NoSkew;39
NoSkew;39
NoSkew;39
NoSkew;40
NoSkew;36
NoSkew;39
NoSkew;40
NoSkew;37
NoSkew;39
NoSkew;39
NoSkew;38
NoSkew;40
NoSkew;37
NoSkew;38
NoSkew;38
NoSkew;37
NoSkew;36
NoSkew;36
NoSkew;45
NoSkew;41
NoSkew;43
NoSkew;42
NoSkew;43
NoSkew;44
NoSkew;45
NoSkew;44
NoSkew;42
NoSkew;43
NoSkew;42
NoSkew;45
NoSkew;44
NoSkew;41
NoSkew;45
NoSkew;42
NoSkew;43
NoSkew;44
NoSkew;45
NoSkew;45
NoSkew;43
NoSkew;45
NoSkew;45
NoSkew;43
NoSkew;43
NoSkew;42
NoSkew;42
NoSkew;44
NoSkew;42
NoSkew;45
NoSkew;43
NoSkew;42
NoSkew;42
NoSkew;45
NoSkew;45
NoSkew;43
NoSkew;43
NoSkew;45
NoSkew;45
NoSkew;42
NoSkew;44
NoSkew;43
NoSkew;41
NoSkew;43
NoSkew;42
NoSkew;45
NoSkew;41
NoSkew;41
NoSkew;42
NoSkew;43
NoSkew;44
NoSkew;42
NoSkew;44
NoSkew;43
NoSkew;45
NoSkew;43
NoSkew;45
NoSkew;41
NoSkew;42
NoSkew;42
NoSkew;45
NoSkew;45
NoSkew;43
NoSkew;42
NoSkew;45
NoSkew;43
NoSkew;43
NoSkew;42
NoSkew;43
NoSkew;44
NoSkew;43
NoSkew;41
NoSkew;42
NoSkew;42
NoSkew;45
NoSkew;44
NoSkew;42
NoSkew;43
NoSkew;44
NoSkew;43
NoSkew;43
NoSkew;41
NoSkew;42
NoSkew;45
NoSkew;41
NoSkew;44
NoSkew;41
NoSkew;44
NoSkew;42
NoSkew;43
NoSkew;41
NoSkew;42
NoSkew;43
NoSkew;41
NoSkew;43
NoSkew;41
NoSkew;42
NoSkew;45
NoSkew;44
NoSkew;43
NoSkew;43
NoSkew;45
NoSkew;42
NoSkew;42
NoSkew;42
NoSkew;42
NoSkew;41
NoSkew;43
NoSkew;42
NoSkew;42
NoSkew;41
NoSkew;45
NoSkew;43
NoSkew;41
NoSkew;42
NoSkew;41
NoSkew;45
NoSkew;43
NoSkew;43
NoSkew;44
NoSkew;45
NoSkew;47
NoSkew;48
NoSkew;47
NoSkew;46
NoSkew;48
NoSkew;47
NoSkew;50
NoSkew;49
NoSkew;46
NoSkew;50
NoSkew;48
NoSkew;48
NoSkew;47
NoSkew;47
NoSkew;47
NoSkew;49
NoSkew;47
NoSkew;47
NoSkew;47
NoSkew;47
NoSkew;50
NoSkew;49
NoSkew;50
NoSkew;49
NoSkew;48
NoSkew;49
NoSkew;48
NoSkew;47
NoSkew;47
NoSkew;48
NoSkew;46
NoSkew;47
NoSkew;50
NoSkew;47
NoSkew;46
NoSkew;47
NoSkew;48
NoSkew;50
NoSkew;50
NoSkew;47
NoSkew;46
NoSkew;50
NoSkew;49
NoSkew;50
NoSkew;46
NoSkew;46
NoSkew;49
NoSkew;49
NoSkew;47
NoSkew;50
NoSkew;50
NoSkew;48
NoSkew;49
NoSkew;47
NoSkew;47
NoSkew;46
NoSkew;49
NoSkew;47
NoSkew;47
NoSkew;50
NoSkew;54
NoSkew;53
NoSkew;53
NoSkew;54
NoSkew;51
NoSkew;52
NoSkew;55
NoSkew;54
NoSkew;54
NoSkew;52
NoSkew;54
NoSkew;52
NoSkew;54
NoSkew;52
NoSkew;52
NoSkew;51
NoSkew;54
NoSkew;54
NoSkew;55
NoSkew;55
NoSkew;54
NoSkew;54
NoSkew;53
NoSkew;55
NoSkew;51
NoSkew;55
NoSkew;52
NoSkew;51
NoSkew;52
NoSkew;51
NoSkew;54
NoSkew;51
NoSkew;52
NoSkew;55
NoSkew;51
NoSkew;52
NoSkew;51
NoSkew;51
NoSkew;54
NoSkew;52
NoSkew;55
NoSkew;52
NoSkew;53
NoSkew;55
NoSkew;53
NoSkew;54
NoSkew;60
NoSkew;56
NoSkew;58
NoSkew;58
NoSkew;59
NoSkew;59
NoSkew;56
NoSkew;60
NoSkew;58
NoSkew;58
NoSkew;56
NoSkew;60
NoSkew;57
NoSkew;60
NoSkew;59
NoSkew;57
NoSkew;59
NoSkew;57
NoSkew;60
NoSkew;60
NoSkew;60
NoSkew;58
NoSkew;60
NoSkew;59
NoSkew;56
NoSkew;64
NoSkew;65
NoSkew;61
NoSkew;62
NoSkew;64
NoSkew;65
NoSkew;62
NoSkew;65
NoSkew;62
NoSkew;63
NoSkew;62
NoSkew;61
NoSkew;65
NoSkew;63
NoSkew;64
NoSkew;65
NoSkew;61
NoSkew;61
NoSkew;67
NoSkew;70
NoSkew;67
NoSkew;66
NoSkew;70
NoSkew;69
NoSkew;74
NoSkew;75
NegSkew;4
NegSkew;2
NegSkew;5
NegSkew;3
NegSkew;4
NegSkew;10
NegSkew;10
NegSkew;7
NegSkew;7
NegSkew;9
NegSkew;8
NegSkew;6
NegSkew;9
NegSkew;7
NegSkew;8
NegSkew;8
NegSkew;10
NegSkew;6
NegSkew;9
NegSkew;6
NegSkew;9
NegSkew;7
NegSkew;6
NegSkew;8
NegSkew;6
NegSkew;6
NegSkew;7
NegSkew;8
NegSkew;9
NegSkew;8
NegSkew;11
NegSkew;12
NegSkew;18
NegSkew;19
NegSkew;17
NegSkew;17
NegSkew;20
NegSkew;19
NegSkew;19
NegSkew;17
NegSkew;16
NegSkew;17
NegSkew;18
NegSkew;17
NegSkew;16
NegSkew;17
NegSkew;16
NegSkew;16
NegSkew;19
NegSkew;16
NegSkew;19
NegSkew;17
NegSkew;19
NegSkew;17
NegSkew;20
NegSkew;20
NegSkew;17
NegSkew;18
NegSkew;16
NegSkew;20
NegSkew;19
NegSkew;19
NegSkew;19
NegSkew;17
NegSkew;17
NegSkew;20
NegSkew;19
NegSkew;17
NegSkew;17
NegSkew;16
NegSkew;17
NegSkew;18
NegSkew;19
NegSkew;18
NegSkew;18
NegSkew;20
NegSkew;20
NegSkew;17
NegSkew;18
NegSkew;16
NegSkew;16
NegSkew;20
NegSkew;20
NegSkew;18
NegSkew;20
NegSkew;20
NegSkew;19
NegSkew;19
NegSkew;20
NegSkew;20
NegSkew;16
NegSkew;19
NegSkew;21
NegSkew;23
NegSkew;21
NegSkew;25
NegSkew;22
NegSkew;25
NegSkew;21
NegSkew;23
NegSkew;23
NegSkew;25
NegSkew;22
NegSkew;24
NegSkew;22
NegSkew;22
NegSkew;22
NegSkew;25
NegSkew;22
NegSkew;25
NegSkew;25
NegSkew;25
NegSkew;22
NegSkew;22
NegSkew;23
NegSkew;21
NegSkew;22
NegSkew;21
NegSkew;24
NegSkew;24
NegSkew;23
NegSkew;24
NegSkew;21
NegSkew;22
NegSkew;23
NegSkew;22
NegSkew;25
NegSkew;21
NegSkew;26
NegSkew;30
NegSkew;29
NegSkew;27
NegSkew;30
NegSkew;28
NegSkew;27
NegSkew;27
NegSkew;27
NegSkew;26
NegSkew;26
NegSkew;28
NegSkew;27
NegSkew;27
NegSkew;29
NegSkew;30
NegSkew;26
NegSkew;26
NegSkew;30
NegSkew;26
NegSkew;27
NegSkew;27
NegSkew;26
NegSkew;27
NegSkew;29
NegSkew;26
NegSkew;28
NegSkew;27
NegSkew;27
NegSkew;27
NegSkew;27
NegSkew;29
NegSkew;27
NegSkew;27
NegSkew;28
NegSkew;30
NegSkew;28
NegSkew;26
NegSkew;28
NegSkew;27
NegSkew;30
NegSkew;30
NegSkew;29
NegSkew;30
NegSkew;26
NegSkew;30
NegSkew;26
NegSkew;26
NegSkew;26
NegSkew;27
NegSkew;28
NegSkew;26
NegSkew;29
NegSkew;30
NegSkew;28
NegSkew;29
NegSkew;27
NegSkew;29
NegSkew;27
NegSkew;30
NegSkew;29
NegSkew;26
NegSkew;29
NegSkew;28
NegSkew;29
NegSkew;27
NegSkew;30
NegSkew;28
NegSkew;28
NegSkew;27
NegSkew;27
NegSkew;27
NegSkew;27
NegSkew;30
NegSkew;30
NegSkew;27
NegSkew;29
NegSkew;30
NegSkew;30
NegSkew;28
NegSkew;29
NegSkew;26
NegSkew;30
NegSkew;28
NegSkew;30
NegSkew;29
NegSkew;29
NegSkew;28
NegSkew;30
NegSkew;29
NegSkew;29
NegSkew;29
NegSkew;28
NegSkew;28
NegSkew;29
NegSkew;28
NegSkew;27
NegSkew;27
NegSkew;30
NegSkew;35
NegSkew;31
NegSkew;35
NegSkew;32
NegSkew;31
NegSkew;33
NegSkew;35
NegSkew;35
NegSkew;33
NegSkew;33
NegSkew;31
NegSkew;35
NegSkew;33
NegSkew;32
NegSkew;31
NegSkew;31
NegSkew;31
NegSkew;34
NegSkew;38
NegSkew;37
NegSkew;39
NegSkew;39
NegSkew;38
NegSkew;40
NegSkew;36
NegSkew;38
NegSkew;38
NegSkew;40
NegSkew;39
NegSkew;38
NegSkew;40
